Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Sammamish,81,123,2017,7.470080033,102,Chlorophyll-a,42,0.873325255,1.62324929,Mesotrophic
Sammamish,62,104,2025,5.927284362,82,Chlorophyll-a,42,0.772855763,1.62324929,Mesotrophic
Sammamish,43,88,2021,7.25375328,78,Phycocyanin,45,0.86056278,1.653212514,Mesotrophic
Sammamish,57,104,2016,6.177125692,77,Chlorophyll-a,47,0.790786438,1.672097858,Mesotrophic
Sammamish,61,111,2011,11.56519546,85,Chlorophyll-a,50,1.063152977,1.698970004,Mesotrophic
Sammamish,75,135,2009,9.466158101,90,Chlorophyll-a,60,0.976173754,1.77815125,Mesotrophic
Sammamish,56,121,2008,5.884010993,64,Chlorophyll-a,65,0.769673475,1.812913357,Mesotrophic
Sammamish,48,114,2015,13.29521674,61,Chlorophyll-a,66,1.123695422,1.819543936,Mesotrophic
Sammamish,51,125,2001,18.61189276,94,Chlorophyll-a,74,1.269790541,1.86923172,Mesotrophic
Sammamish,45,130,2020,9.690255611,95,Phycocyanin,85,0.986335233,1.929418926,Mesotrophic
Sammamish,36,130,2012,22.40335704,79,Chlorophyll-a,94,1.3503131,1.973127854,Mesotrophic
Seneca,172,178,2018,2.872587975,175,Chlorophyll-a,6,0.458273338,0.77815125,Oligotrophic
Seneca,203,214,2014,7.28269181,207,Chlorophyll-a,11,0.862291932,1.041392685,Oligotrophic
Seneca,172,185,2011,3.968978424,175,Chlorophyll-a,13,0.598678738,1.113943352,Oligotrophic
Seneca,271,284,2014,4.702517922,275,Chlorophyll-a,13,0.672330459,1.113943352,Oligotrophic
Seneca,127,142,2013,4.095490811,131,Chlorophyll-a,15,0.612305956,1.176091259,Oligotrophic
Seneca,176,199,2013,6.933960176,183,Chlorophyll-a,23,0.840981343,1.361727836,Oligotrophic
Seneca,225,248,2015,15.50388645,239,Chlorophyll-a,23,1.190440579,1.361727836,Oligotrophic
Seneca,116,184,2017,62.88959132,174,Chlorophyll-a,68,1.798578773,1.832508913,Oligotrophic
Seneca,127,212,2015,23.29853763,172,Chlorophyll-a,85,1.367328663,1.929418926,Oligotrophic
Suggs,76,84,2021,3.161739417,78,Chlorophyll-a,8,0.499926074,0.903089987,Mesotrophic
Suggs,225,237,2023,4.57789512,231,Chlorophyll-a,12,0.660665839,1.079181246,Mesotrophic
Suggs,141,172,2020,18.39714696,149,Chlorophyll-a,31,1.264750478,1.491361694,Mesotrophic
Tempe Town,52,67,2023,3.275655858,57,Chlorophyll-a,15,0.515298268,1.176091259,Eutrophic
Tempe Town,44,66,2020,10.54350426,52,Chlorophyll-a,22,1.022984978,1.342422681,Eutrophic
Tempe Town,315,358,2022,2.883796173,319,Chlorophyll-a,43,0.459964561,1.633468456,Eutrophic
Tempe Town,6,123,2022,11.54438325,35,Chlorophyll-a,117,1.062370736,2.068185862,Eutrophic
Washington,181,188,2010,2.777024928,182,Chlorophyll-a,7,0.443579778,0.84509804,Mesotrophic
Washington,92,101,2025,2.698983625,94,Chlorophyll-a,9,0.43120025,0.954242509,Mesotrophic
Washington,106,116,2010,2.813779793,109,Chlorophyll-a,10,0.449290106,1,Mesotrophic
Washington,272,282,2022,5.003078674,275,Chlorophyll-a,10,0.699237332,1,Mesotrophic
Washington,299,310,2010,2.53658606,300,Chlorophyll-a,11,0.404249601,1.041392685,Mesotrophic
Washington,99,112,2014,3.249811201,104,Chlorophyll-a,13,0.511858131,1.113943352,Mesotrophic
Washington,85,98,2022,5.365877076,90,Chlorophyll-a,13,0.729640719,1.113943352,Mesotrophic
Washington,83,100,2013,7.881936672,91,Chlorophyll-a,17,0.896632941,1.230448921,Mesotrophic
Washington,113,131,2022,7.537680563,123,Chlorophyll-a,18,0.877237729,1.255272505,Mesotrophic
Washington,104,123,2020,5.640980331,114,Chlorophyll-a,19,0.751354585,1.278753601,Mesotrophic
Washington,81,101,2024,5.15461008,86,Chlorophyll-a,20,0.712195819,1.301029996,Mesotrophic
Washington,200,221,2009,2.647378485,201,Chlorophyll-a,21,0.422816035,1.322219295,Mesotrophic
Washington,109,130,2022,5.793773297,121,Phycocyanin,21,0.762961498,1.322219295,Mesotrophic
Washington,60,86,2010,3.863539377,65,Chlorophyll-a,26,0.586985343,1.414973348,Mesotrophic
Washington,80,107,2019,4.738484482,86,Chlorophyll-a,27,0.675639463,1.431363764,Mesotrophic
Washington,89,117,2021,5.13416178,105,Phycocyanin,28,0.710469549,1.447158031,Mesotrophic
Washington,73,103,2024,12.23130797,95,Phycocyanin,30,1.087472901,1.477121255,Mesotrophic
Washington,319,349,2024,5.290483111,334,Phycocyanin,30,0.723495332,1.477121255,Mesotrophic
Washington,315,346,2023,4.676365602,338,Phycocyanin,31,0.669908457,1.491361694,Mesotrophic
Washington,93,125,2021,4.562569043,101,Chlorophyll-a,32,0.659209449,1.505149978,Mesotrophic
Washington,13,46,2025,5.989608438,35,Phycocyanin,33,0.777398432,1.51851394,Mesotrophic
Washington,12,47,2024,10.57379756,39,Phycocyanin,35,1.024230991,1.544068044,Mesotrophic
Washington,92,134,2017,13.65841494,119,Chlorophyll-a,42,1.135400302,1.62324929,Mesotrophic
Washington,123,169,2012,12.97613524,138,Chlorophyll-a,46,1.113145363,1.662757832,Mesotrophic
Washington,121,169,2013,24.74511436,138,Chlorophyll-a,48,1.393489465,1.681241237,Mesotrophic
Washington,299,348,2017,8.387370761,306,Chlorophyll-a,49,0.923625841,1.69019608,Mesotrophic
Washington,54,109,2015,7.990787362,95,Chlorophyll-a,55,0.902589574,1.740362689,Mesotrophic
Washington,15,74,2022,3.583620413,69,Phycocyanin,59,0.554322002,1.770852012,Mesotrophic
Washington,90,156,2016,11.1690243,126,Chlorophyll-a,66,1.048015236,1.819543936,Mesotrophic
Washington,61,135,2008,7.930249859,106,Chlorophyll-a,74,0.899286871,1.86923172,Mesotrophic
Washington,68,145,2009,5.451943219,117,Chlorophyll-a,77,0.736551324,1.886490725,Mesotrophic
Washington,101,180,2011,9.808752415,134,Chlorophyll-a,79,0.991613773,1.897627091,Mesotrophic
Washington,69,149,2025,6.863307021,94,Phycocyanin,80,0.836533427,1.903089987,Mesotrophic
Washington,186,276,2017,8.858954428,212,Chlorophyll-a,90,0.947382468,1.954242509,Mesotrophic
Falling Creek Reservoir,201,218,2019,9.004492525,210,Chlorophyll-a,17,0.954459242,1.230448921,Eutrophic
Falling Creek Reservoir,57,73,2021,2.523991611,59,Chlorophyll-a,16,0.402087907,1.204119983,Eutrophic
Falling Creek Reservoir,85,92,2022,2.68137443,87,Chlorophyll-a,7,0.428357464,0.84509804,Eutrophic
Falling Creek Reservoir,313,325,2022,2.650025249,314,Chlorophyll-a,12,0.423250012,1.079181246,Eutrophic
Falling Creek Reservoir,132,145,2023,4.979982421,137,Chlorophyll-a,13,0.69722781,1.113943352,Eutrophic
Falling Creek Reservoir,210,237,2023,4.245146182,214,Chlorophyll-a,27,0.62789265,1.431363764,Eutrophic
Falling Creek Reservoir,303,NA,2023,10.07782667,318,Chlorophyll-a,NA,1.003366885,NA,Eutrophic
Falling Creek Reservoir,6,16,2024,10.58984584,7,Chlorophyll-a,10,1.024889638,1,Eutrophic
Falling Creek Reservoir,33,74,2024,4.642141789,40,Chlorophyll-a,41,0.666718401,1.612783857,Eutrophic
Falling Creek Reservoir,164,178,2024,8.949938492,171,Chlorophyll-a,14,0.951820051,1.146128036,Eutrophic
Falling Creek Reservoir,209,221,2024,3.780598797,213,Chlorophyll-a,12,0.577560592,1.079181246,Eutrophic
Falling Creek Reservoir,238,265,2024,11.67271052,247,Chlorophyll-a,27,1.067171715,1.431363764,Eutrophic
Falling Creek Reservoir,326,NA,2024,5.943551229,349,Chlorophyll-a,NA,0.77404601,NA,Eutrophic
